Cod.registro;ID do cliente;Nome do cliente;Sexo;Estado civil;Renda mensal (R$);Tipo da transação;data
t047;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;saque;15/12/2024
t048;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;pix;17/11/2024
t049;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;11/07/2024
t050;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;pix;17/09/2024
t051;51;Maria Souza;Masculino;Divorciado(a);6640,12;saque;06/08/2024
t052;52;Maria Pereira;Masculino;Viúvo(a);1251,33;saque;19/11/2024
t053;53;Camila Pereira;Feminino;Viúvo(a);9997,24;saque;26/07/2024
t054;54;Pedro Pereira;Masculino;Viúvo(a);5654,41;pix;18/07/2024
t055;55;Ana Araújo;Feminino;Solteiro(a);2242,64;pix;13/08/2024
t056;56;Ana Souza;Feminino;Divorciado(a);7224,18;saque;11/11/2024
t057;57;Pedro Santos;Masculino;Solteiro(a);4162,47;pix;25/08/2024
t058;58;Ana Nascimento;Feminino;Viúvo(a);1696,57;saque;30/08/2024
t059;59;Paulo Souza;Masculino;Solteiro(a);4626,61;saque;15/09/2024
t060;60;Pedro Almeida;Masculino;Viúvo(a);2511,08;pix;14/10/2024
t061;61;Pedro Silva;Masculino;Viúvo(a);4856,81;saque;10/11/2024
t062;62;Ricardo Araújo;Masculino;Casado(a);7862,92;pix;04/10/2024
t063;63;João Souza;Masculino;Casado(a);8710,4;saque;15/11/2024
t064;64;Beatriz Araújo;Feminino;Viúvo(a);9982,73;pix;22/10/2024
t065;65;Paulo Oliveira;Masculino;Divorciado(a);4910,57;pix;05/11/2024
t066;66;Ricardo Pereira;Masculino;Divorciado(a);8061,68;saque;24/10/2024
t067;67;Maria Santos;Feminino;Casado(a);7073,73;pix;14/12/2024
t068;68;Ricardo Santos;Masculino;Solteiro(a);2091,16;saque;02/09/2024
t069;69;Beatriz Almeida;Feminino;Divorciado(a);2295,74;pix;17/12/2024
t070;70;Camila Silva;Feminino;Casado(a);9404,2;pix;19/10/2024
t071;71;Ana Santos;Feminino;Viúvo(a);5536,68;saque;29/10/2024
t072;72;Pedro Souza;Masculino;Solteiro(a);9206,39;pix;19/08/2024
t073;73;Pedro Lima;Masculino;Casado(a);3623,33;pix;04/08/2024
t074;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;19/11/2024
t075;2;Ana Costa;Feminino;Viúvo(a);4347,62;saque;17/11/2024
t076;3;Camila Souza;Feminino;Casado(a);3075,08;saque;08/09/2024
t077;4;Camila Costa;Feminino;Casado(a);4260,5;pix;13/09/2024
t078;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;19/11/2024
t079;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;10/11/2024
t080;7;Paulo Araújo;Masculino;Casado(a);6946,26;saque;07/10/2024
t081;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;29/08/2024
t082;9;João Pereira;Masculino;Casado(a);6632,51;pix;09/07/2024
t083;10;Carlos Souza;Masculino;Divorciado(a);6195,28;pix;28/12/2024
t084;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;19/10/2024
t085;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;15/09/2024
t086;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;11/09/2024
t087;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;16/09/2024
t088;88;Carlos Silva;Masculino;Divorciado(a);4321,82;saque;13/10/2024
t089;89;Fernanda Oliveira;Feminino;Divorciado(a);2937,32;pix;24/12/2024
t090;90;Pedro Nascimento;Masculino;Solteiro(a);7952,55;pix;09/11/2024
t091;91;Camila Lima;Feminino;Solteiro(a);5245,67;saque;13/08/2024
t092;92;Paulo Santos;Masculino;Casado(a);7067,29;pix;12/09/2024
t093;93;Ana Silva;Feminino;Solteiro(a);7776,95;saque;22/10/2024
t094;94;Beatriz Silva;Feminino;Viúvo(a);3667,17;pix;08/12/2024
t095;95;Ricardo Almeida;Masculino;Solteiro(a);6941,1;saque;06/12/2024
t096;96;Maria Costa;Feminino;Solteiro(a);9138,77;saque;18/12/2024
t097;97;Fernanda Lima;Feminino;Viúvo(a);5692,85;pix;14/10/2024
t098;98;Carlos Lima;Masculino;Solteiro(a);2153,81;saque;24/09/2024
t099;99;Camila Almeida;Feminino;Casado(a);6216,24;pix;07/07/2024
t100;100;Pedro Oliveira;Masculino;Divorciado(a);5096,61;pix;12/11/2024
t101;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;pix;04/09/2024
t102;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;14/12/2024
t103;3;Camila Souza;Feminino;Casado(a);3075,08;pix;13/08/2024
t104;4;Camila Costa;Feminino;Casado(a);4260,5;saque;19/09/2024
t105;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;19/11/2024
t106;2;Ana Costa;Feminino;Viúvo(a);4347,62;saque;17/11/2024
t107;3;Camila Souza;Feminino;Casado(a);3075,08;saque;08/09/2024
t108;4;Camila Costa;Feminino;Casado(a);4260,5;pix;13/09/2024
t109;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;19/11/2024
t110;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;10/11/2024
t111;7;Paulo Araújo;Masculino;Casado(a);6946,26;saque;07/10/2024
t112;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;29/08/2024
t113;9;João Pereira;Masculino;Casado(a);6632,51;pix;09/07/2024
t114;10;Carlos Souza;Masculino;Divorciado(a);6195,28;pix;28/12/2024
t115;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;19/10/2024
t116;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;15/09/2024
t117;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;11/09/2024
t118;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;16/09/2024
t119;19;Ricardo Silva;Masculino;Viúvo(a);3421,08;pix;07/07/2024
t120;20;Ricardo Oliveira;Masculino;Casado(a);5586,92;pix;23/11/2024
t121;21;Maria Nascimento;Feminino;Divorciado(a);4777,23;saque;21/09/2024
t122;22;Beatriz Santos;Feminino;Viúvo(a);8920,4;saque;14/11/2024
t123;23;Camila Santos;Feminino;Divorciado(a);4135,44;saque;19/07/2024
t124;24;Beatriz Costa;Feminino;Divorciado(a);6425,75;pix;13/09/2024
t125;25;Camila Araújo;Feminino;Divorciado(a);1446,38;saque;24/12/2024
t126;26;Ana Pereira;Feminino;Solteiro(a);5898,85;pix;03/12/2024
t127;27;Ana Lima;Feminino;Casado(a);9045,74;pix;18/10/2024
t128;28;Carlos Araújo;Masculino;Divorciado(a);9133,82;pix;05/11/2024
t129;29;Ricardo Nascimento;Masculino;Viúvo(a);3249,69;pix;16/07/2024
t130;30;João Lima;Masculino;Solteiro(a);9251,39;saque;25/08/2024
t131;31;Fernanda Santos;Feminino;Solteiro(a);9062,56;saque;17/09/2024
t132;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;pix;15/12/2024
t133;33;João Silva;Masculino;Divorciado(a);4977,08;saque;14/12/2024
t134;34;João Oliveira;Masculino;Solteiro(a);5256,48;saque;19/09/2024
t135;35;João Almeida;Masculino;Solteiro(a);8222,99;saque;30/07/2024
t136;36;Paulo Silva;Masculino;Casado(a);8762,13;pix;09/08/2024
t137;37;Paulo Nascimento;Masculino;Casado(a);1335,42;pix;10/07/2024
t138;38;Maria Almeida;Feminino;Casado(a);3826,69;pix;18/08/2024
t139;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;19/11/2024
t140;2;Ana Costa;Feminino;Viúvo(a);4347,62;saque;17/11/2024
t141;3;Camila Souza;Feminino;Casado(a);3075,08;saque;08/09/2024
t142;4;Camila Costa;Feminino;Casado(a);4260,5;pix;13/09/2024
t143;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;19/11/2024
t144;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;10/11/2024
t145;7;Paulo Araújo;Masculino;Casado(a);6946,26;saque;07/10/2024
t146;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;29/08/2024
t147;9;João Pereira;Masculino;Casado(a);6632,51;pix;09/07/2024
t148;10;Carlos Souza;Masculino;Divorciado(a);6195,28;pix;28/12/2024
t149;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;19/10/2024
t150;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;15/09/2024
t151;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;11/09/2024
t152;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;16/09/2024
t153;3;Camila Souza;Feminino;Casado(a);3075,08;pix;06/08/2024
t154;4;Camila Costa;Feminino;Casado(a);4260,5;saque;26/10/2024
t155;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;19/09/2024
t156;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;saque;22/08/2024
t157;7;Paulo Araújo;Masculino;Casado(a);6946,26;pix;02/11/2024
t158;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;18/09/2024
t159;9;João Pereira;Masculino;Casado(a);6632,51;pix;12/10/2024
t160;10;Carlos Souza;Masculino;Divorciado(a);6195,28;pix;13/11/2024
t161;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;30/08/2024
t162;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;29/09/2024
t163;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;16/11/2024
t164;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;06/07/2024
t165;15;Maria Silva;Feminino;Divorciado(a);5514,13;saque;07/08/2024
t166;16;Carlos Santos;Masculino;Casado(a);1324,58;saque;13/12/2024
t167;17;Camila Nascimento;Masculino;Divorciado(a);2664,98;saque;01/09/2024
t168;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;19/11/2024
t169;2;Ana Costa;Feminino;Viúvo(a);4347,62;saque;17/11/2024
t170;3;Camila Souza;Feminino;Casado(a);3075,08;saque;08/09/2024
t171;4;Camila Costa;Feminino;Casado(a);4260,5;pix;13/09/2024
t172;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;19/11/2024
t173;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;10/11/2024
t174;7;Paulo Araújo;Masculino;Casado(a);6946,26;saque;07/10/2024
t175;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;29/08/2024
t176;9;João Pereira;Masculino;Casado(a);6632,51;pix;09/07/2024
t177;10;Carlos Souza;Masculino;Divorciado(a);6195,28;pix;28/12/2024
t178;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;19/10/2024
t179;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;15/09/2024
t180;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;11/09/2024
t181;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;16/09/2024
t182;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;pix;14/11/2024
t183;33;João Silva;Masculino;Divorciado(a);4977,08;saque;12/07/2024
t184;34;João Oliveira;Masculino;Solteiro(a);5256,48;pix;19/08/2024
t185;35;João Almeida;Masculino;Solteiro(a);8222,99;pix;17/07/2024
t186;36;Paulo Silva;Masculino;Casado(a);8762,13;pix;08/11/2024
t187;37;Paulo Nascimento;Masculino;Casado(a);1335,42;saque;30/10/2024
t188;38;Maria Almeida;Feminino;Casado(a);3826,69;pix;03/10/2024
t189;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;09/08/2024
t190;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;16/11/2024
t191;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;12/10/2024
t192;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;12/09/2024
t193;43;Maria Lima;Feminino;Casado(a);3563,85;pix;24/12/2024
t194;44;Pedro Costa;Masculino;Casado(a);4806,37;pix;03/08/2024
t195;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;11/12/2024
t196;46;João Costa;Masculino;Viúvo(a);2885,35;saque;27/09/2024
t197;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;17/09/2024
t198;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;23/12/2024
t199;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;31/07/2024
t200;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;pix;09/10/2024
t201;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;14/11/2024
t202;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;04/10/2024
t203;3;Camila Souza;Feminino;Casado(a);3075,08;saque;05/11/2024
t204;4;Camila Costa;Feminino;Casado(a);4260,5;saque;18/07/2024
t205;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;13/12/2024
t206;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;12/08/2024
t207;7;Paulo Araújo;Masculino;Casado(a);6946,26;saque;12/10/2024
t208;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;saque;02/07/2024
t209;9;João Pereira;Masculino;Casado(a);6632,51;saque;21/12/2024
t210;10;Carlos Souza;Masculino;Divorciado(a);6195,28;saque;19/11/2024
t211;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;16/12/2024
t212;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;05/12/2024
t213;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;pix;15/10/2024
t214;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;saque;09/10/2024
t215;15;Maria Silva;Feminino;Divorciado(a);5514,13;pix;08/07/2024
t216;16;Carlos Santos;Masculino;Casado(a);1324,58;saque;07/08/2024
t217;17;Camila Nascimento;Masculino;Divorciado(a);2664,98;saque;02/08/2024
t218;18;Beatriz Lima;Feminino;Casado(a);3189,75;saque;07/08/2024
t219;19;Ricardo Silva;Masculino;Viúvo(a);3421,08;saque;19/10/2024
t220;20;Ricardo Oliveira;Masculino;Casado(a);5586,92;saque;22/11/2024
t221;21;Maria Nascimento;Feminino;Divorciado(a);4777,23;pix;10/07/2024
t222;22;Beatriz Santos;Feminino;Viúvo(a);8920,4;pix;01/09/2024
t223;23;Camila Santos;Feminino;Divorciado(a);4135,44;saque;17/10/2024
t224;24;Beatriz Costa;Feminino;Divorciado(a);6425,75;pix;05/08/2024
t225;25;Camila Araújo;Feminino;Divorciado(a);1446,38;pix;25/10/2024
t226;26;Ana Pereira;Feminino;Solteiro(a);5898,85;pix;08/11/2024
t227;27;Ana Lima;Feminino;Casado(a);9045,74;pix;19/10/2024
t228;28;Carlos Araújo;Masculino;Divorciado(a);9133,82;saque;26/09/2024
t229;29;Ricardo Nascimento;Masculino;Viúvo(a);3249,69;saque;22/07/2024
t230;30;João Lima;Masculino;Solteiro(a);9251,39;saque;23/08/2024
t231;31;Fernanda Santos;Feminino;Solteiro(a);9062,56;saque;20/11/2024
t232;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;pix;04/09/2024
t233;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;09/08/2024
t234;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;16/11/2024
t235;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;12/10/2024
t236;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;12/09/2024
t237;43;Maria Lima;Feminino;Casado(a);3563,85;pix;24/12/2024
t238;44;Pedro Costa;Masculino;Casado(a);4806,37;pix;03/08/2024
t239;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;11/12/2024
t240;46;João Costa;Masculino;Viúvo(a);2885,35;saque;27/09/2024
t241;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;17/09/2024
t242;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;23/12/2024
t243;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;31/07/2024
t244;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;pix;09/10/2024
t245;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;14/11/2024
t246;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;04/10/2024
t247;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;10/07/2024
t248;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;02/08/2024
t249;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;11/12/2024
t250;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;saque;01/12/2024
t251;51;Maria Souza;Masculino;Divorciado(a);6640,12;pix;16/10/2024
t252;52;Maria Pereira;Masculino;Viúvo(a);1251,33;saque;28/12/2024
t253;53;Camila Pereira;Feminino;Viúvo(a);9997,24;pix;30/12/2024
t254;54;Pedro Pereira;Masculino;Viúvo(a);5654,41;pix;02/10/2024
t255;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;09/08/2024
t256;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;16/11/2024
t257;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;12/10/2024
t258;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;12/09/2024
t259;43;Maria Lima;Feminino;Casado(a);3563,85;pix;24/12/2024
t260;44;Pedro Costa;Masculino;Casado(a);4806,37;pix;03/08/2024
t261;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;11/12/2024
t262;46;João Costa;Masculino;Viúvo(a);2885,35;saque;27/09/2024
t263;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;17/09/2024
t264;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;23/12/2024
t265;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;31/07/2024
t266;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;pix;09/10/2024
t267;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;14/11/2024
t268;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;04/10/2024
t269;69;Beatriz Almeida;Feminino;Divorciado(a);2295,74;saque;10/10/2024
t270;70;Camila Silva;Feminino;Casado(a);9404,2;saque;22/09/2024
t271;71;Ana Santos;Feminino;Viúvo(a);5536,68;pix;29/10/2024
t272;72;Pedro Souza;Masculino;Solteiro(a);9206,39;pix;10/10/2024
t273;73;Pedro Lima;Masculino;Casado(a);3623,33;pix;02/09/2024
t274;74;Ana Almeida;Feminino;Divorciado(a);3513,16;pix;30/10/2024
t275;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;09/08/2024
t276;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;16/11/2024
t277;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;12/10/2024
t278;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;12/09/2024
t279;43;Maria Lima;Feminino;Casado(a);3563,85;pix;24/12/2024
t280;44;Pedro Costa;Masculino;Casado(a);4806,37;pix;03/08/2024
t281;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;11/12/2024
t282;46;João Costa;Masculino;Viúvo(a);2885,35;saque;27/09/2024
t283;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;17/09/2024
t284;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;23/12/2024
t285;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;31/07/2024
t286;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;pix;09/10/2024
t287;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;14/11/2024
t288;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;04/10/2024
t289;89;Fernanda Oliveira;Feminino;Divorciado(a);2937,32;saque;10/07/2024
t290;90;Pedro Nascimento;Masculino;Solteiro(a);7952,55;pix;27/10/2024
t291;91;Camila Lima;Feminino;Solteiro(a);5245,67;pix;11/08/2024
t292;92;Paulo Santos;Masculino;Casado(a);7067,29;pix;18/09/2024
t293;93;Ana Silva;Feminino;Solteiro(a);7776,95;pix;09/12/2024
t294;94;Beatriz Silva;Feminino;Viúvo(a);3667,17;saque;25/11/2024
t295;95;Ricardo Almeida;Masculino;Solteiro(a);6941,1;saque;08/09/2024
t296;96;Maria Costa;Feminino;Solteiro(a);9138,77;pix;24/08/2024
t297;97;Fernanda Lima;Feminino;Viúvo(a);5692,85;saque;05/07/2024
t298;98;Carlos Lima;Masculino;Solteiro(a);2153,81;saque;14/12/2024
t299;99;Camila Almeida;Feminino;Casado(a);6216,24;saque;13/08/2024
t300;100;Pedro Oliveira;Masculino;Divorciado(a);5096,61;pix;04/12/2024
t301;51;Maria Souza;Masculino;Divorciado(a);6640,12;saque;29/12/2024
t302;52;Maria Pereira;Masculino;Viúvo(a);1251,33;saque;06/11/2024
t303;53;Camila Pereira;Feminino;Viúvo(a);9997,24;pix;13/10/2024
t304;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;09/08/2024
t305;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;16/11/2024
t306;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;12/10/2024
t307;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;12/09/2024
t308;43;Maria Lima;Feminino;Casado(a);3563,85;pix;24/12/2024
t309;44;Pedro Costa;Masculino;Casado(a);4806,37;pix;03/08/2024
t310;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;11/12/2024
t311;46;João Costa;Masculino;Viúvo(a);2885,35;saque;27/09/2024
t312;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;17/09/2024
t313;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;23/12/2024
t314;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;31/07/2024
t315;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;pix;09/10/2024
t316;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;14/11/2024
t317;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;04/10/2024
t318;68;Ricardo Santos;Masculino;Solteiro(a);2091,16;saque;20/12/2024
t319;69;Beatriz Almeida;Feminino;Divorciado(a);2295,74;saque;23/08/2024
t320;70;Camila Silva;Feminino;Casado(a);9404,2;saque;14/11/2024
t321;71;Ana Santos;Feminino;Viúvo(a);5536,68;saque;20/09/2024
t322;72;Pedro Souza;Masculino;Solteiro(a);9206,39;saque;16/09/2024
t323;73;Pedro Lima;Masculino;Casado(a);3623,33;pix;20/09/2024
t324;74;Ana Almeida;Feminino;Divorciado(a);3513,16;pix;11/09/2024
t325;75;Beatriz Nascimento;Feminino;Solteiro(a);8618,32;pix;07/12/2024
t326;76;Carlos Almeida;Masculino;Casado(a);3768,54;saque;12/10/2024
t327;77;Fernanda Silva;Feminino;Divorciado(a);6404,77;saque;03/09/2024
t328;78;Fernanda Nascimento;Feminino;Solteiro(a);6640,52;saque;19/12/2024
t329;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;09/08/2024
t330;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;16/11/2024
t331;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;12/10/2024
t332;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;12/09/2024
t333;43;Maria Lima;Feminino;Casado(a);3563,85;pix;24/12/2024
t334;44;Pedro Costa;Masculino;Casado(a);4806,37;pix;03/08/2024
t335;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;11/12/2024
t336;46;João Costa;Masculino;Viúvo(a);2885,35;saque;27/09/2024
t337;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;17/09/2024
t338;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;23/12/2024
t339;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;31/07/2024
t340;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;pix;09/10/2024
t341;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;14/11/2024
